time,cwnd
293.057,3.33333
293.147,3.66667
294.155,1
294.315,2
294.438,2.5
295.438,1
295.553,2
295.665,2.5
295.809,3
295.915,3.33333
296.013,3.66667
296.144,4
297.149,1
297.265,2
297.38,2.5
297.512,3
298.513,1
298.645,2
298.794,2.5
298.91,3
299.014,3.33333
299.117,3.66667
299.252,4
299.366,4.25
299.468,4.5
300.474,1
300.593,2
300.704,2.5
300.813,3
300.917,3.33333
301.966,1
302.078,2
302.2,2.5
303.202,1
304.206,1
304.312,2
304.427,2.5
304.529,3
304.639,3.33333
304.744,3.66667
304.842,4
305.845,1
305.967,2
306.069,2.5
306.174,3
306.279,3.33333
307.28,1
307.41,2
307.531,2.5
307.644,3
307.757,3.33333
308.759,1
309.775,1
309.882,2
310.888,1
311.007,2
312.01,1
312.13,2
312.273,2.5
312.382,3
312.511,3.33333
312.616,3.66667
313.618,1
313.74,2
313.844,2.5
313.953,3
314.057,3.33333
314.165,3.66667
314.269,4
314.37,4.25
314.472,4.5
314.574,4.75
315.575,1
315.699,2
316.7,1
317.706,1
317.812,2
318.814,1
318.922,2
319.928,1
320.036,2
320.141,2.5
320.247,3
320.353,3.33333
321.355,1
321.468,2
321.573,2.5
321.687,3
321.799,3.33333
321.902,3.66667
322.905,1
323.014,2
324.015,1
324.123,2
324.234,2.5
324.337,3
324.458,3.33333
325.462,1
325.606,2
325.719,2.5
326.723,1
326.851,2
326.981,2.5
327.091,3
327.239,3.33333
327.377,3.66667
327.474,4
327.574,4.25
327.676,4.5
327.782,4.75
327.883,5
328.006,5.2
328.108,5.4
328.21,5.6
328.312,5.8
328.417,6
328.524,6.16667
328.626,6.33333
328.727,6.5
328.829,6.66667
328.939,6.83333
329.04,7
329.143,7.14286
329.25,7.28571
329.352,7.42857
329.452,7.57143
329.554,7.71429
330.568,1
330.674,2
330.784,3
330.903,3.33333
331.012,3.66667
331.121,4
332.126,1
332.256,2
332.363,2.5
332.469,3
332.607,3.33333
332.713,3.66667
332.814,4
332.916,4.25
333.02,4.5
333.13,4.75
334.146,1
334.257,2
334.368,2.5
335.369,1
335.478,2
336.484,1
336.615,2
336.723,2.5
337.723,1
337.843,2
337.951,2.5
338.951,1
339.081,2
339.254,2.5
339.32,3
339.421,3.33333
340.423,1
340.526,2
340.632,2.5
340.736,3
340.842,3.33333
340.942,3.66667
341.048,4
341.151,4.25
341.264,4.5
341.363,4.75
341.465,5
342.468,1
342.573,2
342.678,2.5
342.793,3
342.917,3.33333
343.036,3.66667
343.142,4
343.253,4.25
343.357,4.5
343.467,4.75
344.468,1
344.579,2
344.693,2.5
345.696,1
345.803,2
345.919,2.5
346.014,3
346.118,3.33333
346.221,3.66667
346.326,4
346.43,4.25
347.433,1
347.554,2
347.673,2.5
347.772,3
348.773,1
348.891,2
348.997,2.5
349.102,3
350.104,1
350.22,2
350.324,2.5
350.435,3
351.443,1
351.584,2
351.693,2.5
351.797,3
351.898,3.33333
352.006,3.66667
352.114,4
352.223,4.25
352.329,4.5
352.431,4.75
352.539,5
352.642,5.2
352.744,5.4
352.846,5.6
352.95,5.8
353.053,6
353.156,6.16667
353.257,6.33333
353.366,6.5
354.375,1
354.483,2
354.59,3
354.701,3.33333
354.828,3.66667
354.936,4
355.08,4.25
355.247,4.5
355.308,4.75
355.425,5
355.532,5.2
355.659,5.4
355.752,5.6
356.754,1
356.861,2
356.97,2.5
357.97,1
358.08,2
358.187,2.5
358.326,3
358.438,3.33333
358.538,3.66667
358.673,4
358.778,4.25
358.881,4.5
359.881,1
359.989,2
360.093,2.5
360.196,3
360.302,3.33333
360.411,3.66667
360.514,4
360.616,4.25
361.626,1
361.745,2
361.859,2.5
361.968,3
362.111,3.33333
362.243,3.66667
362.368,4
362.461,4.25
362.564,4.5
362.668,4.75
362.773,5
362.878,5.2
362.979,5.4
363.992,1
364.122,2
364.232,2.5
364.334,3
364.446,3.33333
364.555,3.66667
364.664,4
365.664,1
366.672,1
366.783,2
366.889,2.5
366.992,3
367.106,3.33333
367.205,3.66667
367.312,4
368.313,1
368.427,2
368.529,2.5
368.632,3
368.75,3.33333
369.756,1
369.885,2
370.893,1
371.001,2
371.133,2.5
371.26,3
372.26,1
372.388,2
373.394,1
374.397,1
375.414,1
375.518,2
375.625,2.5
375.727,3
376.729,1
376.833,2
376.951,2.5
377.061,3
377.174,3.33333
378.187,1
378.318,2
378.503,2.5
378.6,3
379.602,1
379.716,2
379.841,2.5
380.843,1
380.952,2
381.953,1
382.079,2
382.197,2.5
382.298,3
382.402,3.33333
382.508,3.66667
383.516,1
383.643,2
383.771,2.5
383.899,3
384,3.33333
385.001,1
386.029,1
386.134,2
386.243,2.5
386.348,3
386.457,3.33333
387.457,1
387.593,2
387.707,2.5
388.708,1
388.849,2
389.001,2.5
390.003,1
391.01,1
391.124,2
391.228,2.5
391.334,3
391.439,3.33333
391.541,3.66667
391.643,4
392.647,1
392.797,2
393.805,1
394.809,1
394.915,2
395.917,1
396.026,2
396.14,2.5
396.247,3
396.35,3.33333
397.35,1
398.368,1
398.482,2
399.496,1
399.613,2
400.613,1
400.719,2
400.826,2.5
400.928,3
401.931,1
402.053,2
402.17,2.5
402.274,3
402.383,3.33333
402.491,3.66667
403.492,1
403.606,2
403.715,2.5
403.817,3
403.917,3.33333
404.027,3.66667
404.127,4
404.229,4.25
405.229,1
405.342,2
405.46,2.5
405.572,3
405.67,3.33333
405.773,3.66667
405.881,4
405.992,4.25
406.992,1
407.994,1
408.1,2
