time,cwnd
25.3509,3
25.3516,4
25.3538,5
25.3539,5.2
25.3558,5.4
25.3558,5.6
25.3574,5.8
25.3574,6
25.3597,6.16667
25.3597,6.33333
25.3598,6.5
25.3598,6.66667
25.3598,6.83333
25.3598,7
25.3606,7.14286
25.3628,7.28571
25.3628,7.42857
25.3645,7.57143
25.3663,7.71429
25.3696,7.85714
25.3696,8
25.3729,8.125
25.3801,8.25
25.3811,8.375
25.3859,8.5
25.3894,8.625
25.3917,8.75
25.3917,8.875
25.3972,9
25.4064,9.11111
25.4347,9.22222
25.4347,9.33333
25.4485,9.44444
25.4487,9.55556
25.4487,9.66667
25.4487,9.77778
25.4488,9.88889
25.4488,10
25.4488,10.1
25.4488,10.2
25.4524,10.3
25.4524,10.4
25.4524,10.5
26.4543,1
26.4614,2
26.4649,3
26.465,4
26.4678,5
26.4679,5.2
27.4716,1
28.4737,1
28.4784,2
28.4799,2.5
28.4801,3
28.4818,3.33333
28.4818,3.66667
28.4834,4
28.4835,4.25
28.4835,4.5
28.4851,4.75
28.4852,5
28.4852,5.2
28.4877,5.4
28.4878,5.6
28.4878,5.8
28.4878,6
28.4878,6.16667
28.4909,6.33333
28.491,6.5
28.491,6.66667
28.4937,6.83333
29.4959,1
29.5043,2
29.5082,3
29.5133,3.33333
29.5245,3.66667
29.5246,4
29.5393,4.25
29.5394,4.5
29.5426,4.75
29.5691,5
29.5766,5.2
29.5767,5.4
29.5767,5.6
29.5767,5.8
29.5806,6
29.5819,6.16667
29.5837,6.33333
29.5838,6.5
29.5838,6.66667
29.5853,6.83333
29.5872,7
29.5873,7.14286
29.5897,7.28571
29.5898,7.42857
29.5899,7.57143
29.5899,7.71429
29.5899,7.85714
29.5916,8
29.5945,8.125
29.5946,8.25
29.5975,8.375
29.5976,8.5
29.6002,8.625
29.6025,8.75
29.6041,8.875
29.6041,9
30.6051,1
30.6128,2
30.6183,3
30.6211,4
30.6212,4.25
30.6212,4.5
30.6229,4.75
30.6229,5
30.6229,5.2
30.623,5.4
30.6281,5.6
30.6281,5.8
30.6322,6
30.6323,6.16667
30.6408,6.33333
30.642,6.5
30.6421,6.66667
30.6502,6.83333
30.6541,7
31.6554,1
31.6638,2
31.6766,3
31.6775,3.33333
31.6975,3.66667
31.7005,4
31.7023,4.25
31.7024,4.5
31.7088,4.75
31.7171,5
31.7207,5.2
32.7224,1
32.7351,2
32.7454,2.5
32.7673,3
32.7673,3.33333
32.7766,3.66667
32.796,4
32.8002,4.25
32.8265,4.5
32.8267,4.75
32.8284,5
32.8285,5.2
32.8285,5.4
32.8302,5.6
32.835,5.8
32.835,6
32.8351,6.16667
32.8351,6.33333
32.8351,6.5
32.8385,6.66667
33.8387,1
33.8418,2
33.843,3
33.8431,3.33333
33.845,3.66667
33.845,4
33.845,4.25
33.8461,4.5
34.8467,1
34.8494,2
34.8509,2.5
34.851,3
34.8522,3.33333
34.8522,3.66667
34.8522,4
34.8533,4.25
34.8533,4.5
34.8533,4.75
34.8533,5
34.8544,5.2
34.8544,5.4
34.8544,5.6
34.8576,5.8
34.8576,6
34.859,6.16667
34.859,6.33333
35.8597,1
35.8663,2
35.868,3
35.8681,3.33333
36.8686,1
36.8722,2
36.8736,2.5
36.8736,3
36.8751,3.33333
36.8751,3.66667
36.8764,4
36.8765,4.25
36.8765,4.5
36.8776,4.75
36.8788,5
36.8788,5.2
36.8788,5.4
36.8788,5.6
36.88,5.8
36.88,6
36.8801,6.16667
36.8801,6.33333
36.8818,6.5
36.8818,6.66667
36.8818,6.83333
36.8818,7
36.8818,7.14286
36.8818,7.28571
36.8831,7.42857
36.8831,7.57143
36.8832,7.71429
36.8832,7.85714
36.8832,8
36.8832,8.125
36.8832,8.25
36.8843,8.375
36.8844,8.5
36.8844,8.625
36.8844,8.75
36.8844,8.875
36.8844,9
36.8844,9.11111
36.8844,9.22222
36.8855,9.33333
36.8855,9.44444
36.8855,9.55556
36.8872,9.66667
36.8872,9.77778
36.8872,9.88889
37.8877,1
37.8907,2
37.8927,3
37.8928,4
37.894,4.25
37.8953,4.5
37.8953,4.75
37.8953,5
37.8953,5.2
37.8967,5.4
37.8968,5.6
37.8968,5.8
37.8968,6
37.8968,6.16667
37.8988,6.33333
37.8988,6.5
37.8988,6.66667
37.8988,6.83333
37.8988,7
37.8988,7.14286
37.9007,7.28571
37.9009,7.42857
37.9009,7.57143
37.9009,7.71429
37.9009,7.85714
37.901,8
37.901,8.125
37.9023,8.25
37.9023,8.375
37.9023,8.5
37.9023,8.625
37.9023,8.75
37.9023,8.875
37.9023,9
37.9023,9.11111
37.9035,9.22222
37.9036,9.33333
37.9036,9.44444
37.9036,9.55556
37.9036,9.66667
37.9036,9.77778
37.9036,9.88889
37.9036,10
37.9036,10.1
37.9048,10.2
37.9048,10.3
37.9048,10.4
37.9048,10.5
37.9048,10.6
37.9048,10.7
37.9048,10.8
37.9048,10.9
37.9048,11
37.9062,11.1
37.9063,11.1909
37.9063,11.2818
37.9063,11.3727
37.9063,11.4636
37.9063,11.5545
37.9063,11.6455
38.9068,1
39.9148,1
39.9189,2
39.9204,2.5
39.9222,3
39.9222,3.33333
39.9234,3.66667
39.9234,4
39.9234,4.25
39.9246,4.5
39.9246,4.75
39.9264,5
39.9265,5.2
39.9265,5.4
39.9265,5.6
39.9279,5.8
39.928,6
39.928,6.16667
39.928,6.33333
39.9293,6.5
39.9293,6.66667
39.9293,6.83333
39.93,7
40.9318,1
40.9376,2
40.9411,3
40.9412,3.33333
40.9529,3.66667
40.9529,4
40.9548,4.25
40.9552,4.5
40.9571,4.75
40.9617,5
40.9662,5.2
40.9695,5.4
40.9715,5.6
40.9722,5.8
40.9773,6
40.9774,6.16667
40.9789,6.33333
40.9834,6.5
40.9859,6.66667
40.986,6.83333
40.9873,7
40.9886,7.14286
41.0026,7.28571
41.0093,7.42857
41.0108,7.57143
41.0125,7.71429
41.0126,7.85714
41.0192,8
41.0192,8.125
41.0266,8.25
42.0283,1
42.0418,2
42.0593,3
42.0602,4
42.0686,4.25
42.0686,4.5
42.0686,4.75
42.0747,5
42.0747,5.2
42.0747,5.4
42.0748,5.6
42.0787,5.8
42.0787,6
42.0788,6.16667
42.0788,6.33333
43.0792,1
43.0848,2
43.0871,3
43.0889,3.33333
43.0908,3.66667
43.0923,4
43.0945,4.25
43.0946,4.5
43.0947,4.75
43.0947,5
43.1078,5.2
43.1079,5.4
43.1079,5.6
43.1079,5.8
43.1368,6
43.1629,6.16667
43.1637,6.33333
43.1638,6.5
43.1638,6.66667
43.1638,6.83333
43.1641,7
43.1668,7.14286
43.2024,7.28571
43.2025,7.42857
43.2064,7.57143
43.2117,7.71429
43.2123,7.85714
43.2392,8
43.2392,8.125
43.2417,8.25
43.2432,8.375
43.2432,8.5
43.2448,8.625
43.2448,8.75
43.2456,8.875
43.2493,9
43.2494,9.11111
43.2494,9.22222
43.2494,9.33333
43.2494,9.44444
43.2506,9.55556
44.2511,1
44.2549,2
44.2573,3
44.2573,4
44.2659,4.25
44.282,4.5
44.2821,4.75
44.3133,5
44.3167,5.2
44.3205,5.4
44.3205,5.6
44.3224,5.8
44.3243,6
44.3244,6.16667
44.3244,6.33333
44.3312,6.5
44.3312,6.66667
44.3312,6.83333
44.3347,7
44.3347,7.14286
44.3347,7.28571
44.3348,7.42857
44.3348,7.57143
44.3377,7.71429
44.3377,7.85714
44.3469,8
44.347,8.125
44.3506,8.25
44.3508,8.375
44.3548,8.5
44.3548,8.625
44.3575,8.75
44.3576,8.875
44.3576,9
44.3576,9.11111
44.3618,9.22222
44.3619,9.33333
44.362,9.44444
44.3649,9.55556
44.3649,9.66667
44.3749,9.77778
44.375,9.88889
44.3778,10
44.3787,10.1
44.3787,10.2
44.3973,10.3
44.3973,10.4
44.3974,10.5
44.402,10.6
44.402,10.7
44.4094,10.8
44.4096,10.9
45.4137,1
45.4264,2
45.4298,3
45.4305,4
45.4325,5
45.4344,5.2
45.4367,5.4
46.4374,1
46.4424,2
46.4442,2.5
46.4487,3
46.4493,3.33333
46.4493,3.66667
46.4493,4
46.4636,4.25
46.4637,4.5
46.4637,4.75
46.4637,5
46.4757,5.2
46.4757,5.4
46.4758,5.6
46.4813,5.8
46.4813,6
46.4814,6.16667
46.4814,6.33333
46.5011,6.5
46.5051,6.66667
46.5051,6.83333
46.5051,7
46.5051,7.14286
46.5052,7.28571
46.5304,7.42857
46.5334,7.57143
46.5335,7.71429
46.5335,7.85714
46.5335,8
46.5335,8.125
46.5336,8.25
47.5346,1
47.5495,2
48.5599,1
48.5853,2
48.5932,2.5
48.5947,3
48.597,3.33333
49.5996,1
49.6068,2
49.6144,2.5
49.6144,3
49.6164,3.33333
49.6184,3.66667
49.6185,4
49.6229,4.25
49.6243,4.5
49.6244,4.75
49.6276,5
49.6276,5.2
49.6277,5.4
49.6277,5.6
49.6292,5.8
49.6292,6
49.6318,6.16667
49.6319,6.33333
49.6346,6.5
49.6347,6.66667
49.6347,6.83333
49.6347,7
49.6347,7.14286
49.6347,7.28571
49.64,7.42857
49.64,7.57143
49.6455,7.71429
49.6456,7.85714
49.6456,8
49.6493,8.125
49.6515,8.25
50.6529,1
50.6715,2
50.6884,3
50.7036,4
50.7111,4.25
50.7271,4.5
50.7292,4.75
50.7292,5
51.7423,1
51.7495,2
51.7519,2.5
51.755,3
51.7551,3.33333
51.7636,3.66667
51.7638,4
51.7639,4.25
51.7668,4.5
51.7668,4.75
51.7668,5
51.7688,5.2
51.7715,5.4
51.775,5.6
51.7771,5.8
51.7824,6
51.8055,6.16667
51.8056,6.33333
51.8056,6.5
51.8056,6.66667
51.8056,6.83333
51.8056,7
51.8084,7.14286
51.8112,7.28571
51.8112,7.42857
51.8146,7.57143
51.8148,7.71429
51.8166,7.85714
51.8181,8
51.8218,8.125
51.8218,8.25
51.8257,8.375
51.8293,8.5
51.831,8.625
51.8311,8.75
52.8323,1
52.8422,2
52.8443,3
53.856,1
53.8697,2
53.8755,2.5
53.8933,3
53.9152,3.33333
53.9152,3.66667
53.919,4
53.9457,4.25
